probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
1443,20160518,559,130.59.94.236,2001:620:0:2d:220:4aff:fecd:c6e9,system-v1,v4-v6-works
1444,20160518,50300,109.74.240.30,2a00:1c10:cdc:5:220:4aff:fecd:c6f7,system-v1,v4-v6-works
1451,20160518,12312,62.26.26.42,2001:4090:ec2::ffff:42,system-v1,v4-v6-works
1458,20160518,20694,217.114.70.26,2a01:688:4:69:220:4aff:fecd:c710,system-v1,v4-v6-works
1461,20160518,34019,193.17.192.242,2001:67c:1740:a060:220:4aff:fecd:c73d,system-v1,v4-v6-works
1464,20160518,42579,78.158.64.10,2a01:550:0:301::300,system-v1,v4-v6-works
1481,20160518,8972,80.242.159.142,2001:830:128:14::6,system-v1,v4-v6-works
1484,20160518,3330,193.186.161.193,2a02:5e0::220:4aff:fed1:35ea,system-v1,v4-v6-works
1485,20160518,31334,,,system-v1,v4-v6-works
1488,20160518,49375,178.17.252.242,2a02:1648:3052:1:220:4aff:fed1:35f0,system-v1,v4-v6-works
1489,20160518,12322,88.165.232.120,2a01:e35:8a5e:8780:220:4aff:fed1:3609,system-v1,v4-v6-works
1494,20160518,1120,,,system-v1,v4-v6-works
1497,20160518,3320,,,system-v1,v4-v6-works
1501,20160518,3303,85.1.36.162,2a02:1205:5012:4a20:220:4aff:fed1:361c,system-v1,v4-v6-works
1507,20160518,15557,,,system-v1,v4-v6-works
1511,20160518,6830,31.10.147.192,2a02:aa15:f100:7e00:220:4aff:fede:b4cb,system-v1,v4-v6-works
1514,20160518,30933,193.151.125.197,2a01:50:400:1::2,system-v1,v4-v6-works
2002,20160518,8283,,,system-v2,v4-v6-works
2009,20160518,3333,193.0.0.78,2001:67c:2e8:ffe2:220:4aff:fee0:2772,system-v2,v4-v6-works
