probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
2651,20160518,20712,81.187.244.139,2001:8b0:fa62:0:220:4aff:fee0:2270,system-v2,v4-v6-works
2664,20160518,56430,86.105.155.146,2a05:91c0:203::146,system-v2,v4-v6-works
2669,20160518,56430,89.36.18.13,2a05:91c0:507::13,system-v2,v4-v6-works
2695,20160518,198644,,,system-v2,v4-v6-works
2707,20160518,12337,213.95.133.190,2001:780:100:6::2,system-v2,v4-v6-works
2713,20160518,60706,185.26.196.250,2a00:8c60:1:3:220:4aff:fee0:2661,system-v2,v4-v6-works
2729,20160518,13103,188.230.120.141,2a00:1db0:20::828:141,system-v2,v4-v6-works
2733,20160518,12337,213.155.94.138,2001:780:100:113::2,system-v2,v4-v6-works
2779,20160518,12355,212.37.37.118,2001:14f0:0:dc03::37:118,system-v2,v4-v6-works
2781,20160518,24956,217.13.64.149,2a00:1030:100:0:220:4aff:fee0:2212,system-v2,v4-v6-works
2793,20160518,36483,,,system-v2,v4-v6-works
2800,20160518,3320,80.149.49.198,2003:8:1:100:220:4aff:fee0:2009,system-v2,v4-v6-works
2801,20160518,57079,146.247.0.186,2a03:84c0:0:a02:220:4aff:fee0:21b6,system-v2,v4-v6-works
2807,20160518,12310,80.86.103.218,2a02:2a00:2b00:aaaa::16,system-v2,v4-v6-works
2814,20160518,12310,89.149.60.238,2a02:2a00:2b00:aaaa::1a,system-v2,v4-v6-works
2820,20160518,35826,,,system-v2,v4-v6-works
2827,20160518,35518,87.245.64.41,2a00:d80::1:1a,system-v2,v4-v6-works
2833,20160518,49463,,,system-v2,v4-v6-works
2858,20160518,19255,204.9.55.84,2001:4978:1:420:220:4aff:fee0:24f3,system-v2,v4-v6-works
2868,20160518,55895,58.84.254.11,2402:a800:fff0::11,system-v2,v4-v6-works
2873,20160518,6830,,,system-v2,v4-v6-works
2886,20160518,1853,193.170.114.46,2001:628:2006:11::2,system-v2,v4-v6-works
2887,20160518,15451,193.27.55.22,2a00:e50:f154:5180::22,system-v2,v4-v6-works
2928,20160518,262149,200.59.16.60,2800:640:bb:1:220:4aff:fee0:2269,system-v2,v4-v6-works
2944,20160518,12303,5.28.0.6,2a00:e6a0:2:1:220:4aff:fee0:21f4,system-v2,v4-v6-works
2954,20160518,6830,62.24.68.246,2a02:8304:1:4:220:4aff:fee0:228d,system-v2,v4-v6-works
2957,20160518,44034,80.251.201.187,2a02:aa0:0:1:220:4aff:fee0:25d8,system-v2,v4-v6-works
2977,20160518,6830,62.24.68.242,2a02:8304:1:3:220:4aff:fee0:264b,system-v2,v4-v6-works
